Phase,Customer Actions,Touchpoints & Devices,Other Actions,Systems & Processes,Other Actions,"Infrastructure, Partners & Networks",Notes,Customer Value,NSF Value
,"Register firm with NSF Fastlane (requires EIN, DUNS)",Online: https://www.fastlane.nsf.gov/a0/about/registration.htm,,FastLane,,??,(1) Takes 1-2 days turnaround. (2) Need to identify Principal Investigator (PI) ,,
,Begin to gather letters of support.,??,,n/a,Third-party contacts provide letters of support in writing.,,"(1) Is there a template or a set of guidelines for this? (2) How is this currently submitted? (3) Can they submit soft copies? (4) Do the letters need to be notarized? I.e., how do you verify/authenticate?",,
– 30 days,,,,,Solicitation posted,,,,
– 4-2 weeks,Enter information into FastLane,FastLane,Outline of proposal (structured),,,,,,
,,,Financials / Budget (structured); Refer to  Department of Labor/Bureau of Labor Statistics for salary ranges,,,,,,
,,,Project Summary (structured),,,,,,
,,,Personnel (structured),,,,,,
,,,Resumes / CVs (unstructured),,,,,,
,,,Cover Sheet (structured),,,,,,
,,,Letters of Support (unstructured),,,,,,
,,,Business Model (unstructured),,,,,,
,,,Commercialization history / SBA Certification form (unstructured),,,,,,
,,,PI and Administrator certification,,,,,,
,,,A lot of PDFs,,,,This is a known pain point as the applicant has to create another account to submit as a research administrator. Applications wind up being disqualified because they are deemed incomplete.,,
,Call help desk,,,,,,(1) Help Desk receives hundreds of calls during peak period,,
– 4-2 days,Submit proposal,FastLane,,,,,,,
Deadline,,,,Submission deadline,,,,,
,,,,,NSF screens proposals,,Usually takes about 1 week,,
,,,,Proposals that do not meet basic specifications are returned without review (RWR),,,"Reasons for RWR: (1) Projects which were submitted late (most of these would not have been able to submit, but some who checked the “exception” box may have to be RWR’ed)
(2) Projects with project descriptions > 15 pages (if the extra pages have no significant content, we will usually let them go to panel, but if it looks like it’s too much to have put on 15 pages, they will be returned)
(3) Projects asking for significantly more than $225,000 (we will make sure that the request is consistent in multiple places in the proposal; if some areas request $225k and other request more, we’ll make a judgement call as to whether it was a typo or intentional)
(4) Some projects which are completely missing a commercial discussion will get flagged by the staff and returned.  If the commercial discussion exists in a weird format, it’ll generally be allowed to go to panel (with the PD consulted in some edge cases)",,
,,,,"FastLane sends an email that sounds like an acceptance, but it isn’t.",,,,,
,,,,Applicant can see when proposal is assigned to reviewers (but receives no notification). Managed via e-jacket.,,,Applicant has to proactively log in to check status.,,
,,,,Applicant can see when proposal has been assigned for panel review. Managed via e-jacket.,,,,,
,,,,,"Emails are answered, standard process, etc. ",,,,
,,,,PI notified by email / status update whether proposal is recommended or rejected. Managed via e-jacket.,,,Decisions are final. No protests — but are allowed to submit another Phase I proposal. (1) Do applicants receive additional feedback on why they were rejected?,,
,,,,Managed via e-jacket.,"Proposals that have been recommended undergo multiple reviews from PD to Division Director, then 30 days to financial office.",,,,
,PI receives award letter.,,,Award letter sent to PI via e-jacket.,,,,,
,Register for Awards Cash Management System.,,,,,,,,
,Awardee can pull down funding.,,Ask questions about drawing down funds.,SAM,,,20% of the money is withheld until the very end of the Phase I period upon receipt of the final report.,,
,,,,,Program directors send out email ,,,,
,Awardees attend Phase I grantee workshop.,,,,,,,,
,,,Email from Program Director,,,,,,
,,,Email from Amanda,,,,,,
,,,Email from Selda,,,,,,
,,,Email from Comms (Kelly),,,,,,
,"Provide updates via program director office hours, monthly phone calls, and/or written reports",,,,,,,,
,"At the end of the Phase I period, submit final report. ",NSF SBIR: https://www.nsf.gov/eng/iip/sbir/reporting.jsp,Log in and submit through Research.gov: https://identity.research.gov/sso/UI/Login,,research.gov approval process,,,,
,Customer able to access remaining funding,,Approved final report,SAM,Remaining funds released to customer.,,,,
,Apply for Phase II,,,,,,,,
